error_id,story_ids,area,class,severity,status,title,expected,observed,evidence,resolution,found_at,retested_at
ERR-011,"LOG-083, CHROME-048, DSREG-*",harness,test_harness,medium,fixed,Story specs inherited the development host's date/time format from the debug bridge,"The browser harness emulates a Windows host, so rendered Date/Time columns follow the Windows preferences the shim publishes, with or without the debug IPC bridge.","Once the bridge answered get_system_date_time_preferences with the real host's answer, a macOS development host rendered ISO timestamps where the shim's Windows contract (M/d/yyyy h:mm:ss tt) was expected: [LOG-083]'s row assertion failed 2/2 in the retest while CI stayed green.",e2e/stories/log-view.spec.ts '[LOG-083] the info pane summarises the parser that read the file': received 'Line 1 | Error | AppEnforce | 2031-10-04 12:00:00…' instead of the emulated-Windows pattern.,bootApp pins get_system_date_time_preferences to the Windows defaults by default; a spec that is about the format itself (CHROME-059) still overrides it by name.,2026-09-24,2026-09-24
ERR-012,ESP-*,esp,test_harness,medium,fixed,"e2e/esp-diagnostics.spec.ts read the host's elevation state, so it failed with the app running","The ESP spec renders the Windows administrator-coverage surface deterministically, with or without the debug IPC bridge.","The spec never stubbed get_esp_elevation_state, so with `npm run app:dev` running the real backend answered restartSupported=false on macOS and the 'Restart as administrator' button these tests assert disappeared (1 of 13 failed; CI is green because it has no bridge).","e2e/esp-diagnostics.spec.ts: 1 failed / 12 passed with the app running before, 13 passed after.","The spec extends its page fixture with an init-script override that pins the elevation probe to the Windows-stub value, matching the shim's static default.",2026-09-24,2026-09-24
ERR-013,CHROME-100,chrome,logistical,medium,fixed,"Debug bridge startup commands were unimplemented, so a browser session booted with console errors","With `npm run app:dev` running, a browser session against :1420 boots clean: the debug bridge answers the same startup questions the real backend does.","take_second_launch_paths, get_initial_elevation_restore, sync_app_menu_state and get_system_date_time_preferences were not implemented, so the app logged '[file-association] failed to claim a forwarded launch … Command take_second_launch_paths failed.' and three warnings at boot; e2e/smoke.spec.ts ('app loads at :1420 without JS errors') failed 2/2 while the app was running.","e2e/smoke.spec.ts: 2 failed / 29 passed before, 5 passed after the fix with the app running; src-tauri/src/ipc_bridge.rs test 'debug_bridge_answers_browser_session_startup_commands' pins the four responses.","The bridge answers those four commands with the 'nothing is pending' values the real backend returns (empty second-launch list, no restore ticket, no native menu, host date/time defaults).",2026-09-24,2026-09-24
ERR-014,SCCM-061,sccm,logistical,medium,fixed,Collector Pester suite failed on any host whose UTC offset is not zero,scripts/collection/tests/Invoke-CmtraceEvidenceCollection.Tests.ps1 passes wherever it runs.,"1 of 29 tests failed on this host (UTC-0400): the bundle-id test mocked a local-kind DateTime while New-CollectorBundleId stamps UTC, so the expectation encoded the runner's timezone.",pwsh Invoke-Pester before: 28 passed / 1 failed ('uses the invariant Gregorian calendar under a non-Gregorian culture'); with TZ=UTC: 29 passed; after the fix on the local timezone: 29 passed.,"The test's mocked clock is an explicit UTC instant, so the assertion no longer depends on the host offset.",2026-09-24,2026-09-24
ERR-015,DSREG-017,dsregcmd,ux,medium,fixed,"Timeline rendered 'Not Reported' rows, making the documented empty state unreachable",Timeline rows are omitted when they have no value; with nothing timestamped the section shows 'No timeline-friendly timestamps were found in this capture.',"Previous PRT attempt, Azure AD PRT update and Client reference time fell back to formatValue(null) => 'Not Reported', so those rows survived the empty-value filter and the empty-state branch was dead code.","e2e/stories/diagnostics.spec.ts '[DSREG-017] the timeline omits rows without a timestamp and shows its empty state' (RED before, green after).","buildTimelineItems uses a timelineTimestamp helper that returns an empty string for absent values (keeping raw text for unparsable ones), so the existing filter drops those rows.",2026-09-24,2026-09-24
ERR-016,DSREG-018,dsregcmd,ux,medium,fixed,Capture-confidence qualifier mangled acronyms and skipped two conclusion boxes,"Every conclusion box carries the 'Based on this capture, …' qualifier below High confidence, with the original copy intact.","qualifyByCaptureConfidence lower-cased the first character of the detail, rendering 'mDM visibility…', 'pRT present…', 'nGC is Yes…'; Current phase and Join posture never carried the qualifier at all.","e2e/stories/diagnostics.spec.ts '[DSREG-018] every conclusion flow box is confidence-qualified' (red before, green after); the pre-existing test used case-insensitive regexes, which hid the mangling.",The qualifier no longer re-cases the detail; Current phase and Join posture route through it (Capture trust states the confidence itself and stays unqualified).,2026-09-24,2026-09-24
ERR-017,LOG-053,log,ux,medium,fixed,"Quick Stats severity card was never marked active, so it could not be toggled off",Clicking a severity card filters the list and outlines the card in the severity colour (2px); clicking it again clears the filter.,"The card set filteredIds directly, but the external-clear effect tested hasActiveFilter() (clauses only), so it reset activeSeverity on the same commit: the outline stayed 1px and a second click re-applied instead of clearing.","e2e/stories/log-view.spec.ts '[LOG-053] the active severity card shows its outline and toggles off' (RED before, green after).",The card records the ids it applied and the effect resets the card only when the store's filteredIds is null or a different set (an external filter change or clear).,2026-09-24,2026-09-24
ERR-018,LOG-058,log,ux,medium,fixed,Sidebar 'Merge into Timeline' merged without clearing the active filter,"The sidebar merge clears the active filter first, like the sibling select-file and reload-source actions.","The button's onClick collected cached paths and called createMergedTab without clearFilter, so clause filters from the previous view survived into the merged stream.","e2e/stories/log-view.spec.ts '[LOG-058] the sidebar merge clears the active filter first' (RED before, green after): clauses stayed [{Message contains A-line}] after the merge.",clearFilter() runs before createMergedTab in the Merge loaded files handler.,2026-09-24,2026-09-24
ERR-019,"CHROME-048, CHROME-038, CHROME-058, LOG-*, DSREG-*, TL-*",harness,test_harness,high,fixed,Story specs could assert a shadow store instance after any source edit,A spec that seeds or reads a Vite module acts on the instance the running app holds.,"After an edit, Vite serves invalidated modules under '?t=' URLs, which are distinct module instances: import('/src/stores/ui-store.ts') from a spec seeded a second store while the app rendered the first (proved: sidebarCollapsed=true did not collapse the sidebar; seedStore-based assertions failed only in that session state).",PROBE output: sameInstance=false for '/src/stores/ui-store.ts?probe=1'; performance resource entries showed the app loading '/src/stores/ui-store.ts?t=1790281443518' while the spec imported the bare path; seeding sidebarCollapsed left the sidebar expanded.,"seedStore applies state to every loaded instance of the module, and bootApp fails loudly when HMR-timestamped URLs are present so a stale session cannot silently test a shadow instance; the authoritative runs restart the dev server (as CI does).",2026-09-24,2026-09-24
ERR-020,"CHROME-042, LOG-086",chrome,coverage,low,accepted,Known-source family expansion: missing direct paths and unavailable folders are not asserted,"Opening a family verifies each direct file path, skips missing or inaccessible ones, keeps only pattern-matching folder entries and warns per unavailable folder.",Covered end to end for present sources; the skip/warn branches have no browser assertion.,"e2e/stories/log-view.spec.ts '[LOG-086] known sources are grouped, and Open all expands a family' (passes).",Retained as a documented coverage gap; the branches need a filesystem-backed fixture to be exercised honestly.,2026-09-24,
ERR-021,CHROME-066,chrome,coverage,low,accepted,File-association prompt status is verified only through sibling module tests,supported=true on Windows with shouldPrompt = not suppressed and not registered; false off Windows.,"get_file_association_prompt_status needs a Tauri AppHandle, so no focused unit test covers the status computation; the handler tests cover registry readback and visible registration.",src-tauri/src/commands/file_association.rs tests visible_registration_requires_the_expected_name_and_a_description and registry_readback_only_treats_missing_entries_as_unregistered (pass).,Recorded as partial evidence; a focused test needs an AppHandle or a pure status helper extracted from the command.,2026-09-24,
ERR-022,"PARSER-*, LOG-0xx",operations,dead_surface,low,accepted,"Registered IPC commands with no frontend caller, and known-source type fields nothing reads",Every registered command and public type field has a consumer.,"11 registered commands have no frontend reference (close_timeline_cmd, evtx_capture/export/import/load_provider_databases, evtx_loaded_map_count, evtx_provider_databases, get_esp_diagnostics_capability, lookup_error_code), and types/log.ts declares defaultFileIntent/preferredFileNames that neither Rust nor the frontend produces or reads.","Static scan of src/**/*.ts(x) against the app_invoke_handler! list (0 frontend-only commands, 11 backend-only); grep for defaultFileIntent/preferredFileNames finds only the type declarations.","Retained deliberately: the evtx_* commands are exercised by the Rust suite and the provider-database/map loaders are startup/admin surfaces; removing them is a separate design decision, not a defect fix.",2026-09-24,
