id,area,title,user_story,expected_behavior,entry_points,source_files,platforms,edition,notes,status,phase,error_class,error_detail,test_method,tested_at,retest_status,retest_at,fix_notes
CHROME-011,chrome,Pause and resume live tail,As an analyst I want to freeze incoming lines so I can read a burst.,Ctrl/Cmd+U or View > Pause/Resume or sidebar Pause/Resume calls pause_tail/resume_tail. Only the log workspace has tailing. Status bar shows Streaming or Paused.,Ctrl/Cmd+U; View menu; FileSidebar footer,src/hooks/use-keyboard.ts; src/stores/log-store.ts; src/components/layout/FileSidebar.tsx,all,both,log-store togglePause + menu toggle_pause.,pass,retest,none,No confirmed defect in current verification.,existing_test,2026-08-18T19:17:47Z,pass,2026-09-24T21:30:00Z,No confirmed defect or remediation required; current behavior retained.
CHROME-012,chrome,Refresh active source,As an analyst I want F5 to reload the current file or analysis.,"F5 or View > Refresh reloads the active source for the current workspace (log reparse, Intune re-analyze, Sysmon re-run, etc.).",F5; View > Refresh; sidebar Refresh,src/hooks/use-keyboard.ts; src/hooks/use-app-actions.ts; src/lib/log-source.ts,all,both,canRefresh + menu refresh routing.,pass,retest,none,No confirmed defect in current verification.,existing_test,2026-08-18T19:17:47Z,pass,2026-09-24T21:30:00Z,No confirmed defect or remediation required; current behavior retained.
CHROME-013,chrome,Adjust log list text size,As an analyst I want larger or smaller list text.,"Ctrl/Cmd + = / - / 0 increase, decrease, or reset logListFontSize when the workspace has fontSizing. Settings Appearance sliders do the same. Details pane has its own size.",Ctrl/Cmd+= - 0; View > Text Size; Settings > Appearance,src/hooks/use-keyboard.ts; src/stores/ui-store.ts; src/components/dialogs/settings/AppearanceTab.tsx,all,both,font inc/dec/reset store + menu.,pass,retest,none,No confirmed defect in current verification.,existing_test,2026-08-18T19:17:47Z,pass,2026-09-24T21:30:00Z,No confirmed defect or remediation required; current behavior retained.
CHROME-014,chrome,Switch workspace,As an analyst I want to change analysis mode without restarting.,"Toolbar workspace dropdown and Workspace menu list getAvailableWorkspaces(platform, enabledWorkspaces). Selecting one sets activeWorkspace and updates labels/capabilities.",Toolbar workspace; Workspace menu,src/components/layout/Toolbar.tsx; src/workspaces/registry.ts; src-tauri/src/menu.rs,all,both,Lite hides Full-only ids via enabledWorkspaces. | Workspace switcher in smoke + ESP e2e; registry filters platforms.,pass,retest,none,No confirmed defect in current verification.,existing_test,2026-08-18T19:17:47Z,pass,2026-09-24T21:30:00Z,No confirmed defect or remediation required; current behavior retained.
CHROME-015,chrome,Theme picker,As an analyst I want readable severity colors.,"Theme menu applies one of Classic CMTrace, Light, Dark, Dracula, Nord, Solarized Dark, High Contrast, Hot Dog Stand immediately and persists themeId.",Toolbar ThemePicker; Settings > Appearance,src/components/layout/ThemePicker.tsx; src/components/dialogs/settings/AppearanceTab.tsx,all,both,"Theme menu lists Light, High Contrast, Solarized Dark, Dracula.",pass,retest,none,No confirmed defect in current verification.,focused_test,2026-08-18T19:17:47Z,pass,2026-09-24T21:30:00Z,Current focused test: src/components/dialogs/settings/AppearanceTab.test.tsx.
CHROME-016,chrome,Error code lookup,As an analyst I want hex/decimal/text search of the embedded catalog.,"Ctrl+L / Ctrl+E or Tools > Error Code Lookup opens ErrorLookupDialog. Code-like queries search immediately; text is debounced 300ms. Results show category, hex, description, Copy. History reruns. Prefills lookupErrorCode when opened from a span or Quick Stats.",Ctrl+L; Ctrl+E; Toolbar; Tools menu; error span; Quick Stats; row context,src/components/dialogs/ErrorLookupDialog.tsx; src/hooks/use-keyboard.ts,all,both,Error Code Lookup Fluent dialog opened with Close.,partial,retest,coverage,"Current exact-head suite ran, but no focused current browser/component scenario covers the full user behavior.",ui,2026-08-18T19:17:47Z,partial,2026-09-24T21:30:00Z,Toolbar wires Error lookup to showErrorLookupDialog. Existing store tests cover open. Browser walk did not prove the Fluent Dialog failed.
CHROME-017,chrome,GUID registry dialog,As an Intune admin I want GUID-to-name lookup after analysis.,Tools > GUID Registry opens tabs All/Apps/Scripts/Remediations. Filter by name/GUID/publisher. Click copies GUID. Empty state tells the user to run Intune analysis or enable Graph.,Tools > GUID Registry,src/components/dialogs/GuidRegistryDialog.tsx,all,full,GUID Registry dialog: No GUID registry data available. Run an Intune analysis or enable Graph API in Settings.,partial,retest,coverage,"Current exact-head suite ran, but no focused current browser/component scenario covers the full user behavior.",ui,2026-08-18T19:17:47Z,partial,2026-09-24T21:30:00Z,No confirmed defect or remediation required; current behavior retained.
CHROME-018,chrome,Evidence bundle summary,As an analyst I want to inspect a collected bundle inventory.,Tools > Evidence Bundle Summary opens EvidenceBundleDialog with Summary/Inventory/Notes/Manifest. Artifact buttons open in the active workspace or preview registry/EVTX.,Tools > Evidence Bundle Summary,src/components/dialogs/EvidenceBundleDialog.tsx,all,full,Verified 2026-08-18T15:35:10Z: Dialog landmark + Summary/Inventory/Notes/Manifest empty and error states. Tests: src/components/dialogs/EvidenceBundleDialog.test.tsx,pass,retest,none,No confirmed defect in current verification.,existing_test,2026-08-18T19:17:47Z,pass,2026-09-24T21:30:00Z,No confirmed defect or remediation required; current behavior retained.
CHROME-019,chrome,Collect diagnostics,As a Windows analyst I want a scoped evidence zip.,"Tools > Collect Diagnostics (Windows + collector feature) opens CollectDiagnosticsDialog. Presets and family checkboxes. Collect starts collectDiagnostics and shows shell progress. CollectionCompleteDialog shows counts, gaps, Close, Open Bundle. Collect and complete overlays are dialog landmarks. Every collector run uses the canonical nonce-bearing bundle identifier consumed by unified-timeline provenance. Bundle timestamps are invariant Gregorian UTC regardless of the host culture.",Tools > Collect Diagnostics,src/components/dialogs/CollectDiagnosticsDialog.tsx; src/components/dialogs/CollectionCompleteDialog.tsx; scripts/collection/Invoke-CmtraceEvidenceCollection.ps1,windows,full,"Dialog component tests cover presets, categories, progress, completion counts/gaps, Close, and Open Bundle. The collector Pester suite covers invariant Gregorian UTC serialization, the canonical unique lowercase bundle ID, and exact staged/reference parity.",pass,retest,none,No confirmed defect remains in the automated collection contract; native end-to-end collection remains separate acceptance evidence.,focused_test,2026-08-23T05:12:20Z,pass,2026-09-24T21:30:00Z,Unified the PowerShell and native collector identifier format so parsed CMTrace and EVTX evidence retains bundle provenance. Evidence: collector Pester 29/29 including the fa-IR culture regression plus parser bundle-origin regressions.
CHROME-020,chrome,Settings dialog,"As a user I want appearance, columns, behavior, updates, associations, and Graph in one place.","Settings opens tabs Appearance, Columns, Behavior, Updates; plus File Associations and Graph API on Windows. Esc/overlay/Close dismisses. Arrow/Home/End move tabs.","Ctrl/Cmd+,; Tools/App Settings",src/components/dialogs/SettingsDialog.tsx,all,both,Focused current component test passed; no additional defect note.,pass,retest,none,No confirmed defect in current verification.,focused_test,2026-08-18T19:17:47Z,pass,2026-09-24T21:30:00Z,Settings already had role=dialog; added landmark assertion. Not a product bug.
CHROME-021,chrome,Settings appearance,"As a user I want theme, list size, details size, and font family.","Theme select, list/details sliders, font picker including Default (System), preview, Reset Defaults.",Settings > Appearance,src/components/dialogs/settings/AppearanceTab.tsx,all,both,"Verified 2026-08-18T15:35:10Z: Theme, sliders, font, preview, Reset Defaults. Tests: src/components/dialogs/settings/AppearanceTab.test.tsx; src/components/dialogs/SettingsDialog.test.tsx",pass,retest,none,No confirmed defect in current verification.,existing_test,2026-08-18T19:17:47Z,pass,2026-09-24T21:30:00Z,No confirmed defect or remediation required; current behavior retained.
CHROME-022,chrome,Settings columns reset,As a user I want default column order and widths back.,Columns tab reports custom order/widths or defaults. Reset to Defaults clears persisted layout.,Settings > Columns,src/components/dialogs/settings/ColumnsTab.tsx,all,both,Verified 2026-08-18T15:35:10Z: Reset to Defaults clears custom column layout. Tests: src/components/dialogs/settings/ColumnsTab.test.tsx; src/components/dialogs/SettingsDialog.test.tsx,pass,retest,none,No confirmed defect in current verification.,existing_test,2026-08-18T19:17:47Z,pass,2026-09-24T21:30:00Z,No confirmed defect or remediation required; current behavior retained.
CHROME-023,chrome,Settings behavior,As a user I want default info pane and tab-close confirm.,Checkboxes: Show info pane by default; Confirm before closing tabs.,Settings > Behavior,src/components/dialogs/settings/BehaviorTab.tsx,all,both,Verified 2026-08-18T15:35:10Z: Info pane default and confirm-close checkboxes write ui-store. Tests: src/components/dialogs/settings/BehaviorTab.test.tsx; src/components/dialogs/SettingsDialog.test.tsx,pass,retest,none,No confirmed defect in current verification.,existing_test,2026-08-18T19:17:47Z,pass,2026-09-24T21:30:00Z,No confirmed defect or remediation required; current behavior retained.
CHROME-024,chrome,Settings updates,As a user I want startup update checks unless policy disables them.,Checkbox Check for updates on startup is disabled if updateChecksDisabledByPolicy. Channel badge shown. Clear skipped version if set.,Settings > Updates,src/components/dialogs/settings/UpdatesTab.tsx; src/lib/commands.ts,all,both,UpdatesTab policy checkbox; src/lib/commands.ts:getUpdatePolicy. Current exact-head test coverage passes.,pass,retest,none,No confirmed defect in current verification.,existing_test,2026-08-18T19:17:47Z,pass,2026-09-24T21:30:00Z,No confirmed defect or remediation required; current behavior retained.
CHROME-025,chrome,Windows file association,"As a Windows user I want .log, .log_, .lo_, and .cmtlog files to open in CMTrace Open.",Settings > File Associations registers or re-registers the current CMTrace Open edition as a per-user available handler and independently confirms Windows registry readback before reporting success. Open Windows Default Apps leaves the user's default choice to Windows and runs shell activation on a dedicated COM STA without blocking the async runtime. The first-run prompt offers Register and open Default Apps / Don't Ask Again / Ask Later and remains open when registration cannot be confirmed. Non-Windows tab is a static note. Windows packaging disables Tauri installer-owned associations while runtime identities stay distinct across Full/Lite and stable/nightly editions. Ordinary NSIS and MSI uninstall remove only the current package identities from loaded and offline profiles; updater and replacement paths preserve them.,Settings > File Associations; first-run prompt,src/components/dialogs/settings/FileAssociationsTab.tsx; src/components/dialogs/FileAssociationPromptDialog.tsx; src-tauri/src/commands/file_association.rs; src-tauri/installer/windows-installer-hooks.nsh; src-tauri/installer/remove-stable-file-associations.ps1; src-tauri/installer/remove-nightly-file-associations.ps1,windows,both,"Vitest covers truthful readback, in-flight activation, prompt retention, and accessible status. Rust tests cover four extensions, edition identities, ordinary-versus-replacement NSIS routing, blocking-pool isolation, and paired STA initialization/teardown. Windows PowerShell 5.1/Pester covers loaded, absent, inaccessible, logoff-race, retry, unload, failure aggregation, and notification paths for stable/nightly cleanup; a disposable native hive proved quoted LOAD/read/dispose/UNLOAD behavior.",partial,retest,coverage,"Native Default Apps selection, native execution of the STA probe, and a live uninstall or upgrade of freshly built signed final installers were not observed.",focused_test+native_hive,2026-08-23T05:12:20Z,partial,2026-09-24T21:30:00Z,"Repaired runtime identity cleanup for Full/Lite and stable/nightly packages, including offline profiles, bounded logoff-race recovery, and dedicated COM STA shell activation. Evidence: association Rust 11/11; Windows PowerShell 5.1/Pester 22/22; native disposable-hive smoke; Windows cross-check and strict Clippy."
CHROME-026,chrome,Graph API settings,As a Windows admin I want optional WAM Graph for GUID names.,Enable Graph requires confirm. Then Sign in / Cancel; Request missing permissions; Pre-populate app cache; Sign out. Non-Windows: unavailable.,Settings > Graph API,src/components/dialogs/settings/GraphApiTab.tsx,windows,full,Verified 2026-08-18T15:35:10Z: Enable/sign-in/permissions/sign-out/cache; non-Windows unavailable note. Tests: src/components/dialogs/settings/GraphApiTab.test.tsx,partial,retest,coverage,Native platform behavior is unavailable on this macOS host; automated coverage is contract/component-level.,existing_test,2026-08-18T19:17:47Z,partial,2026-09-24T21:30:00Z,No confirmed defect or remediation required; current behavior retained.
CHROME-027,chrome,About dialog,"As a user I want version, channel, runtime, and license.","About shows name, version, channel, Tauri/React/TS/Rust, MIT, app ID, github.com/adamgell/cmtraceopen. OK/Esc/overlay close.",Help/App > About,src/components/dialogs/AboutDialog.tsx,all,both,Focused current component test passed; no additional defect note.,pass,retest,none,No confirmed defect in current verification.,focused_test,2026-08-18T19:17:47Z,pass,2026-09-24T21:30:00Z,About panel has role=dialog aria-modal aria-label About CMTrace Open. AboutDialog.test.tsx asserts the landmark.
CHROME-028,chrome,Check for updates,As a user I want to download or skip an update.,"Check for Updates opens UpdateDialog. States: checking (Cancel), available (Skip / Later / Download & install or GitHub), downloading (percent, no Esc), up-to-date/error (OK). Update overlay is a dialog landmark (aria-label Check for Updates).",Help > Check for Updates,src/components/dialogs/UpdateDialog.tsx,all,both,Verified 2026-08-18T15:35:10Z: Update dialog states + Updates tab checkbox/channel/clear skipped. Tests: src/components/dialogs/UpdateDialog.test.tsx; src/components/dialogs/settings/UpdatesTab.test.tsx,pass,retest,none,No confirmed defect in current verification.,focused_test,2026-08-18T19:17:47Z,pass,2026-09-24T21:30:00Z,"Added role=dialog aria-modal aria-label=""Check for Updates"" on UpdateDialog."
CHROME-029,chrome,Drag and drop files,As an analyst I want to drop files onto the window to open them.,Dropped paths go to the active workspace onOpenPath or the generic loader. Timeline unions dropped paths. Log workspace accepts multi-file drop.,Window drop,src/hooks/use-drag-drop.ts,all,both,"Verified 2026-08-18T15:35:10Z: Single/multi drop routing for log, non-log, and timeline. Tests: src/hooks/use-drag-drop.test.tsx",pass,retest,none,No confirmed defect in current verification.,existing_test,2026-08-18T19:17:47Z,pass,2026-09-24T21:30:00Z,No confirmed defect or remediation required; current behavior retained.
CHROME-030,chrome,OS file association launch,As a user I want double-clicking a .log to open it in the app.,"After the user selects CMTrace Open in Windows Default Apps or the OS otherwise invokes it with a supported path, get_initial_file_paths opens positional launch paths. get_initial_workspace can land on ESP. Elevation restore tickets are claimed separately and never treated as file paths.",OS file association; CLI args,src/hooks/use-file-association.ts; src-tauri/src/lib.rs,all,both,Focused tests prove launch-argument parsing and elevation-ticket separation; they do not prove that a native OS double-click starts the installed application.,partial,retest,coverage,Native Windows Default Apps selection and installed double-click launch were not observed.,focused_test+source_review,2026-08-22T23:35:15Z,partial,2026-09-24T21:30:00Z,Corrected the evidence boundary: automated coverage verifies dispatch after invocation while native installed-app launch remains outstanding.
CHROME-031,chrome,One modal surface and deterministic dismissal,As a user I want confirmations and dialogs to appear one at a time and dismiss without losing pending work.,Exactly one aria-modal=true surface renders at a time. Modal requests queue in arrival order without destroying payloads or startup eligibility; active registration/elevation/collection work retains ownership; completion or dismissal promotes the next request. The active modal owns Escape and modal shortcuts while ordinary Escape closes transient non-modal UI.,AppShell dialogs; Event Log clear; ESP force confirmation; Escape,src/stores/ui-store.ts; src/components/layout/AppShell.tsx; src/hooks/use-modal-ownership.ts; src/hooks/use-keyboard.ts; src/hooks/use-app-actions.ts; src/workspaces/event-log/ChannelPicker.tsx; src/workspaces/esp-diagnostics/EspActions.tsx,all,both,"Store, component, timer-overlap, and real-Chromium regressions prove FIFO promotion, payload retention, local-owner cleanup, in-flight registration ownership, delayed association/update coexistence, and one modal landmark.",pass,retest,none,No confirmed modal-overlap or pending-intent loss remains in current automated verification.,focused_test+browser,2026-08-22T23:35:15Z,pass,2026-09-24T21:30:00Z,Replaced destructive boolean-modal replacement with a single FIFO owner shared by boolean dialogs; payload dialogs; and local Fluent confirmations. Tests: ui-store.test.ts; use-update-checker.test.tsx; evtx-live-ops.test.tsx; EspActions.test.tsx; e2e/modal-ownership.spec.ts.
CHROME-032,chrome,Status bar,"As an analyst I want stream, filter, parser, and Graph state without extra clicks.","Log view: stream, chrome, source, tab, parser, elapsed, position, lines, severity, format, filter. Other workspaces show their analysis summary. Graph dot if not disconnected. No buttons.",StatusBar,src/components/layout/StatusBar.tsx,all,both,Status bar shows Idle • Log view • Details on • Info on • Source No source selected.,partial,retest,coverage,"Current exact-head suite ran, but no focused current browser/component scenario covers the full user behavior.",ui,2026-08-18T19:17:47Z,partial,2026-09-24T21:30:00Z,No confirmed defect or remediation required; current behavior retained.
CHROME-033,chrome,Workspace capabilities decide which chrome mounts,As an analyst I want each workspace to show only the chrome it actually supports so the shell never offers dead controls.,"AppShell mounts TabStrip only when the active workspace declares capabilities.tabStrip, FindBar only when it declares findBar (and showFindBar is on), the sidebar region only when capabilities.sidebar !== false, and the sidebar footer only when capabilities.footerBar. FileSidebar renders the workspace's own sidebar component when the registry defines one and the classic LogSidebar otherwise.",App shell on every workspace; Workspace dropdown,src/components/layout/AppShell.tsx; src/components/layout/FileSidebar.tsx; src/workspaces/registry.ts,all,both,Extends CHROME-009 (toggles) and CHROME-014 (switching) with the actual mount conditions; shouldRenderWorkspaceSidebar is the exported predicate.,pass,story,none,,e2e_browser: stories/chrome-shell.spec.ts :: [CHROME-033] workspace capabilities decide which chrome mounts,2026-09-24T21:30:00Z,,,
CHROME-034,chrome,Collapse and expand the sidebar from its edge,As an analyst I want to reclaim list width with one click and get the sidebar back the same way.,"The sidebar header shows a collapse chevron (aria-label ""Collapse sidebar"", title ""Collapse sidebar (Ctrl+B)""); while collapsed AppShell renders a 36px rail whose only button is ""Expand sidebar"" (title ""Expand sidebar (Ctrl+B)"") and the aside is not mounted. Workspaces without the sidebar capability render neither control, and Ctrl+B stays equivalent to the buttons.",Sidebar header chevron; collapsed rail chevron; Ctrl+B,src/components/layout/FileSidebar.tsx; src/components/layout/AppShell.tsx; src/stores/ui-store.ts,all,both,"Extends CHROME-009, which covered only the keyboard/menu toggle.",pass,story,none,,"e2e_browser: stories/chrome-shell.spec.ts :: [CHROME-034] sidebar collapses to a rail, and Ctrl+B is equivalent",2026-09-24T21:30:00Z,,,
CHROME-035,chrome,Switching tabs reloads the file from its stored source context,As an analyst I want clicking a tab to bring back that file's content and its folder context without reparsing the whole folder.,"An activeTabIndex change calls switchToTab(tab.filePath, tab.sourceContext) and ensureLogViewVisible(""tab-switch""); switching to the file already shown is a no-op that clears a pending loading indicator, a registry tab is restored from the registry cache or reparsed, and a switch superseded by a newer one is abandoned so entries from the older file are never left on screen.",TabStrip tab click; ArrowLeft/ArrowRight; overflow list item,src/components/layout/AppShell.tsx; src/lib/log-source.ts,all,both,"Extends LOG-021, which described only which tab becomes active.",pass,story,none,,e2e_browser: stories/chrome-shell.spec.ts :: [CHROME-035] switching tabs reloads that file's content,2026-09-24T21:30:00Z,,,
CHROME-036,chrome,Closing the last tab clears the log content and filters,As an analyst I do not want stale rows or an active filter left behind with no tab to explain them.,"Closing the final tab sets activeTabIndex to -1, clears the active file and all filter clauses, and evicts that tab's cached entry snapshot; closing a non-active tab keeps the current selection adjusted (activeIndex shifts left when the closed tab preceded it), and closing the active tab selects the previous one or the first. An out-of-range index is warned about and ignored.",Tab close X on the last open tab,src/stores/ui-store.ts,all,both,Extends LOG-021 (tab close) with the empty-state cleanup contract; clearTabs follows the same path.,pass,story,none,,e2e_browser: stories/chrome-shell.spec.ts :: [CHROME-036] closing the last tab clears the log content and filters,2026-09-24T21:30:00Z,,,
CHROME-037,chrome,Reopening an already-open file focuses its tab instead of duplicating it,As an analyst I want the same log to have one tab no matter how many times I open it.,"openTab ignores an empty path with a warning; for a filePath already open it only focuses that tab (refreshing sourceContext/fileKind when supplied) instead of adding a second tab. A genuinely new tab gets a UUID id, is appended, becomes active, and takes the info pane's visibility from the ""Show info pane by default"" preference.","Open File, drag-and-drop, Recent, known sources — any path that reaches the log workspace twice",src/stores/ui-store.ts,all,both,Extends LOG-021 (tab list) and CHROME-023 (the default-show-info-pane preference it consumes).,pass,story,none,,e2e_browser: stories/chrome-shell.spec.ts :: [CHROME-037] reopening an already-open file focuses its tab instead of duplicating it,2026-09-24T21:30:00Z,,,
CHROME-038,chrome,Closing a merged or diff tab exits that view,As an analyst I want the X on a merged tab to take me back to the plain log view rather than close an unrelated file.,"Clicking the close control on the active tab while sourceOpenMode is ""merged"" calls closeMergedTab (and, from the overflow list, a diff tab calls closeDiff) instead of closeTab, so the merged/diff presentation is torn down; every other tab closes normally. The merged tab is labelled ""Merged (N files)"" with the source paths as its tooltip.",Close X on the Merged (N files) tab; overflow dropdown close control,src/components/layout/TabStrip.tsx; src/stores/log-store.ts,all,both,Extends LOG-015 and LOG-017 (merge/diff creation) with the teardown path; LOG-021 covered only plain tab close.,pass,story,none,,e2e_browser: stories/chrome-shell.spec.ts :: [CHROME-038] closing a merged tab exits that view,2026-09-24T21:30:00Z,,,
CHROME-039,chrome,Toolbar control availability mirrors command state,As an analyst I want the toolbar to grey out exactly what cannot work right now so I do not click into failures.,"The Open menu button is disabled while a source command is running and carries the active workspace's placeholder label; the known-source button is disabled and reads ""No known log sources"" or ""Known sources unavailable""; Highlight is disabled outside the log workspace; Filter is disabled with no entries and switches to ""Filter (N)"" with aria-pressed once clauses are active; Details/Info are disabled per capability and reflect visibility; Merge tabs.../Diff tabs... appear only in the log workspace with two or more tabs; the Workspace dropdown is hidden when only one workspace is available; dsregcmd adds ""Paste clipboard"" and ""Capture live output"".","Toolbar buttons: Open..., known-source menu, Highlight, Filter..., Error lookup, Details, Info, Merge tabs..., Diff tabs..., Workspace",src/components/layout/Toolbar.tsx; src/hooks/use-app-actions.ts,all,both,"Extends CHROME-009/CHROME-014 (which covered the actions, not the per-control disabled/hidden states); commandState is the single source of truth.",pass,story,none,,"component_test: derives log capabilities, visibility, labels, and guarded actions",2026-09-24T21:30:00Z,,,
